ID,101.0,100.0,102.0,896.0,897.0,T0.5,T0.6,T0.7,T0.8,UNK12,74.0,71.0,106.0,104.0,103.0,75.0,73.0,76.0,77.0
ENSMUSG00000027374-P,7.2748320374574496,6.561515769033234,6.7376996189268015,6.50496586674294,6.307489070984026,6.854571443032723,6.798146916377919,5.910311749663849,6.885563890964352,,,,,,,,,,
ENSMUSG00000042626-P,4.554501280444778,5.359346681082597,5.359163221766231,4.232267354256176,6.288869695958686,5.310039971387686,4.2240099860938525,3.5312132431986103,4.737738392123119,,,,,,,,,,
ENSMUSG00000055681-P,8.287025392499515,7.999952591160073,7.815425330041754,7.675039560506247,7.622169891966533,7.631001681769065,7.736410671962344,7.911320963527596,7.865703314104701,,,,,,,,,,
ENSMUSG00000028412-P,6.2153253397394135,6.770006973934691,6.671229012173565,6.303022613945795,7.161765386397774,6.338453072809291,6.185685764557923,6.948476592165153,6.326896664973563,,,,,,,,,,
ENSMUSG00000054484-P,3.1672559246754,5.405518274767321,5.3017333068758585,4.47147194203123,4.480793705501705,4.997174802162059,3.960350930422987,5.324676047276037,4.961030935308618,,,,,,,,,,
ENSMUSG00000024425-P,9.974670132958304,10.361953610482022,9.91842495150785,9.880247139238056,10.09247177591362,9.906979693031548,9.706390514991186,10.251128278311183,9.69995942305578,,,,,,,,,,
ENSMUSG00000032216-P,9.7438200934827,10.161288817208714,10.493703785215615,10.7248211386656,10.50112554477876,10.406299845872626,10.055739788135252,10.527861009187651,10.298482809513397,,,,,,,,,,
ENSMUSG00000025979-P,7.191326627505599,7.857738246360595,7.332558100871924,7.384442664679167,7.770461076844391,7.911480807712968,8.12308408657206,7.554069914600203,7.965747383223005,,,,,,,,,,
ENSMUSG00000051343-P,5.163357879754206,5.046177925717404,5.662684334805726,5.547148967576114,5.803327522060324,5.486327530504934,5.009590167282809,5.749688705337369,5.710445808937475,,,,,,,,,,
ENSMUSG00000035443-P,8.601979005170726,8.437851644942505,8.13607192096868,8.61025890516807,8.622227109083035,8.001315411341933,8.405760287728112,8.711569294317053,8.46236903904721,,,,,,,,,,
ENSMUSG00000028991-P,5.901750155804968,5.9006619807881595,6.110152010390917,5.974033007845808,6.3796527424145335,6.167883750350014,6.378431046325186,6.206954718790918,5.989310299083667,,,,,,,,,,
ENSMUSG00000036948-P,5.848230178923576,6.716067524319932,7.074173811722693,5.258688447768312,6.361947397845682,6.115201492821074,5.7285294016018256,5.120836548556326,6.244311273730956,,,,,,,,,,
ENSMUSG00000033900-P,6.349779410727252,6.770006973934691,6.693727887300776,6.596240018032795,6.545692125004679,7.144733098855567,7.360629920020275,6.054829852279387,6.965074548233909,,,,,,,,,,
ENSMUSG00000041936-P,4.908352629359846,4.5665464550311805,5.4934678919573185,4.356821614027285,5.066092749658853,4.518156736536309,4.578325601306335,2.875129551690155,4.320598421947695,,,,,,,,,,
ENSMUSG00000034584-P,1.9645988968039112,3.7021378150296895,3.701964223264987,2.793193551827114,2.6036294101084696,4.251477834197026,4.302176834689743,1.0399210909765384,2.7187049314574803,,,,,,,,,,
