SampleID,classe originale,classe finale,Action,Class Change?,NEW CLASS
DSS_7177T0.5_090224,DSS_T0,DSS_T0,Drop,FALSE,DSS_T0
DSS_7274T0.8.2_090224,DSS_T0,DSS_T0,Drop,FALSE,DSS_T0
3297_VECPAC_190224,VECPAC_CTRL,VECPAC_CTRL,Keep,FALSE,VECPAC_CTRL
3679_VECPAC_190224,VECPAC_CTRL,VECPAC_CTRL,Keep,FALSE,VECPAC_CTRL
DSS_T0.5B897_090224,DSS_T0,DSS_T0,Drop,FALSE,DSS_T0
3681_VECPAC_190224,VECPAC_CTRL,VECPAC_CTRL,Keep,FALSE,VECPAC_CTRL
CSF_96_20122021,DSS_T5,DSS_T5,Keep,FALSE,DSS_T5
DSS_912_120224,DSS_T5,DSS_T5,Keep,FALSE,DSS_T5
DSS_7911180902_090224,DSS_T1,DSS_T1,Drop,FALSE,DSS_T1
DSS_T1.5T1.7902_090224,DSS_T1,DSS_T1,Drop,FALSE,DSS_T1
CSF_115_116_121_122_21122021,DSS_T3,DSS_T3,Drop,FALSE,DSS_T3
CSF_88_118_21122021,DSS_T3,DSS_T3,Drop,FALSE,DSS_T3
CSF_129_21122021,DSS_T5,DSS_T5,Keep,FALSE,DSS_T5
DSS_1229087_120224,DSS_T3,DSS_T3,Drop,FALSE,DSS_T3
DSS_906T3.8_120224,DSS_T3,DSS_T3,Drop,FALSE,DSS_T3
CSF_123_124_126_20122021,DSS_T5,DSS_T5,Drop,FALSE,DSS_T5
CSF_70_21122021,DSS_T5,DSS_T5,Keep,FALSE,DSS_T5
CSF_97_21122021,DSS_T5,DSS_T5,Keep,FALSE,DSS_T5
DSS_T5.7_120224,DSS_T5,DSS_T5,Keep,FALSE,DSS_T5
DSS_117_120224,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
CSF_89_PROVA_07122021,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
DSS_911T5.6_120224,DSS_T5,DSS_T5,Drop,FALSE,DSS_T5
DSS_93126T5.6_120224,DSS_T5,DSS_T5,Drop,FALSE,DSS_T5
DSS_T5.5T5.8_120224,DSS_T5,DSS_T5,Drop,FALSE,DSS_T5
DSS_12994128_120224,DSS_T5,DSS_T5,Drop,FALSE,DSS_T5
DSS_95127_120224,DSS_T5,DSS_T5,Drop,FALSE,DSS_T5
DSS_907_120224,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
945949_CTR_25H_CSF_070224,LPS_2.5H,LPS_2.5H,Drop,FALSE,LPS_2.5H
DSS_91_120224,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
950951947_CSF_25H_080224,LPS_2.5H,LPS_2.5H,Drop,FALSE,LPS_2.5H
DSS_T3.6_090224,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
954961_CSF_24H_080224,LPS_24H,LPS_24H,Drop,FALSE,LPS_24H
955961_CSF_24H_080224,LPS_24H,LPS_24H,Drop,FALSE,LPS_24H
CSF_109_21122021,DSS_T1,DSS_T1,Keep,FALSE,DSS_T1
CSF_110_21122021,DSS_T1,DSS_T1,Keep,FALSE,DSS_T1
960962963_CSF_24H_080224,LPS_24H,LPS_24H,Drop,FALSE,LPS_24H
958963_CSF_24H_080224,LPS_24H,LPS_24H,Drop,FALSE,LPS_24H
CSF_113_20122021,DSS_T1,DSS_T1,Keep,FALSE,DSS_T1
DSS_76_090224,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
DSS_B896_090224,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
938942_CTR_LPS_CSF_070224,LPS_CTRL,LPS_CTRL,Drop,FALSE,LPS_CTRL
939940.2_CTR_LPS_CSF_070224,LPS_CTRL,LPS_CTRL,Drop,FALSE,LPS_CTRL
940934_CTR_LPS_CSF_070224,LPS_CTRL,LPS_CTRL,Drop,FALSE,LPS_CTRL
DSS_T0.7_090224,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
DSS_T0.8_090224,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
DSS_73_090224,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
32963296.1_VECPAC_200224,VECPAC_CRE,VECPAC_CRE,Drop,FALSE,VECPAC_CRE
330632963296.1VECPAC_200224_2,VECPAC_CRE,VECPAC_CRE,Drop,FALSE,VECPAC_CRE
33283356_VECPAC_190224,VECPAC_CRE,VECPAC_CRE,Drop,FALSE,VECPAC_CRE
333033473689_VECPAC_190224,VECPAC_CRE,VECPAC_CRE,Drop,FALSE,VECPAC_CRE
335233703689_VECPAC_200224,VECPAC_CRE,VECPAC_CRE,Drop,FALSE,VECPAC_CRE
335533643665_VECPAC_200224,VECPAC_CRE,VECPAC_CRE,Drop,FALSE,VECPAC_CRE
VECPAC_36783675_120224,VECPAC_CTRL,VECPAC_CTRL,Drop,FALSE,VECPAC_CTRL
3369367333713677_VECPAC_190224,VECPAC_CTRL,VECPAC_CTRL,Drop,FALSE,VECPAC_CTRL
CSF_105_21122021,DSS_T0,No T0,Drop,TRUE,No T0
33543353VECPAC_190224,VECPAC_CTRL,VECPAC_CTRL,Drop,FALSE,VECPAC_CTRL
36743677_VECPAC_190224,VECPAC_CTRL,VECPAC_CTRL,Drop,FALSE,VECPAC_CTRL
36773688_VECPAC_190224,VECPAC_CTRL,VECPAC_CTRL,Drop,FALSE,VECPAC_CTRL
CSF_106_20122021,DSS_T0,DSS_T3,Drop,TRUE,DSS_T3
935_CTR_LPS_CSF_070224,LPS_CTRL,LPS_CTRL,Keep,FALSE,LPS_CTRL
36803629.1_REP_VECPAC_200224,VECPAC_CTRL,VECPAC_CRE+,Drop,TRUE,VECPAC_CRE+
CSF_101_102_104_21122021,DSS_T0,DSS_T1,Drop,TRUE,DSS_T1
936_CTR_LPS_CSF_070224_2,LPS_CTRL,LPS_CTRL,Keep,FALSE,LPS_CTRL
937_CTR_LPS_CSF_070224,LPS_CTRL,LPS_CTRL,Keep,FALSE,LPS_CTRL
