Metabolite 1,Metabolite 2,edge_dir
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Benzophenone,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol", 5-Hydroxyhexanoic acid,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Carfentrazone-ethyl,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Cholest-7-en-3-ol, (3beta,5alpha)-",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Cyclohexanol,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Cyclopentaneacetic acid, 3-oxo-2-pentyl-",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Diphenyl ether,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",DL-Glyceraldehyde,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Doconexent,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Glyoxime,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Isofucosterol,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Methyl aminoacetate,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Niclosamide,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Nonadecanoic acid,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Nonanal,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Pantolactone,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",phenoxyethanol,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Phloroglucinol,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Tartronic acid,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Thymine, 1,3-dimethyl-6-(trimethylsilyloxymethyl)-",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Triethanolamine,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate",1
(CH3)2C=NC2H558,"1-Propanamine, N,N-diethyl- ",1
(CH3)2C=NC2H558,"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",1
(CH3)2C=NC2H558,2-Hydroxy-5-methoxybenzaldehyde,1
(CH3)2C=NC2H558,2-Naphthol,1
(CH3)2C=NC2H558,"2-Propanone, bis(1-methylethyl)hydrazone",1
(CH3)2C=NC2H558,"2,4-Diamino-6,7-dimethylpteridine",1
(CH3)2C=NC2H558,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",1
(CH3)2C=NC2H558,3-Hexenedinitrile,1
(CH3)2C=NC2H558,4-(Trimethylsilyoxy)-3-penten-2-one,1
(CH3)2C=NC2H558,4-Methoxyphenol,1
(CH3)2C=NC2H558,4-Methylvaleric acid,1
(CH3)2C=NC2H558,"Benzoic acid, methyl ester",1
(CH3)2C=NC2H558,"Benzoic acid, pentadecyl ester",1
(CH3)2C=NC2H558,Benzoic Acid,1
(CH3)2C=NC2H558,Butylated Hydroxytoluene,1
(CH3)2C=NC2H558,Butylmethylamine,1
(CH3)2C=NC2H558,"Cyclohexanone, 3,3,5-trimethyl-",1
(CH3)2C=NC2H558,Dodecanoic acid,1
(CH3)2C=NC2H558,Eicosapentaenoic acid,1
(CH3)2C=NC2H558,Pantolactone,1
(CH3)2C=NC2H558,Phenol,1
(CH3)2C=NC2H558,phenoxyethanol,1
(CH3)2C=NC2H558,Phlorizin,1
(pm)-alpha-Tocopherol acetate,"(R*,S*)-2,3-Dihydroxybutanoic acid",1
(pm)-alpha-Tocopherol acetate,"1-(2,4-Dimethoxyphenyl)-propan-2-one",1
(pm)-alpha-Tocopherol acetate,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",1
(pm)-alpha-Tocopherol acetate,1-Deoxypentitol,1
(pm)-alpha-Tocopherol acetate,"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene",1
(pm)-alpha-Tocopherol acetate,"1,3,5-Benzetriol",1
(pm)-alpha-Tocopherol acetate,"15-Oxo-11Z,13E-eicosadienoic acid",1
(pm)-alpha-Tocopherol acetate,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,1
(pm)-alpha-Tocopherol acetate,"2-Allyl-1,4-dimethoxybenzene",1
(pm)-alpha-Tocopherol acetate,2-Ethyl-3-hydroxypropionic acid,1
(pm)-alpha-Tocopherol acetate,2-Methyl-4-pentenoic acid,1
(pm)-alpha-Tocopherol acetate,2-Naphthol,1
(pm)-alpha-Tocopherol acetate,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",1
(pm)-alpha-Tocopherol acetate,"2,3,4-Trihydroxybutyric acid tetrakis",1
(pm)-alpha-Tocopherol acetate,"2,4-Decadienal",1
(pm)-alpha-Tocopherol acetate,"2,4-Diamino-6,7-dimethylpteridine",1
(pm)-alpha-Tocopherol acetate,"2,6-Dimethoxybenzylamine",-1
(pm)-alpha-Tocopherol acetate,3-Hexenedinitrile,1
(pm)-alpha-Tocopherol acetate,3-Methyladenine,1
(pm)-alpha-Tocopherol acetate,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",1
(pm)-alpha-Tocopherol acetate,4-(Trimethylsilyoxy)-3-penten-2-one,1
(pm)-alpha-Tocopherol acetate,"4-Fluoroaniline, N-trimethylsilyl-",1
(pm)-alpha-Tocopherol acetate,4-Hydroxybenzaldehyde,1
(pm)-alpha-Tocopherol acetate,4-Methylvaleric acid,1
(pm)-alpha-Tocopherol acetate,5-Hydroxyquinoline,1
(pm)-alpha-Tocopherol acetate,5-Hydroxytryptophan,1
(pm)-alpha-Tocopherol acetate,"6,7,4'-Trihydroxyisoflavone",1
(pm)-alpha-Tocopherol acetate,"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",1
(pm)-alpha-Tocopherol acetate,9-Octadecenoic acid,1
(pm)-alpha-Tocopherol acetate,alpha-Linolenic acid,1
(pm)-alpha-Tocopherol acetate,Benzeneacetic acid,1
(pm)-alpha-Tocopherol acetate,"Benzimidazole, 5-trifluoromethyl-2-methyl-",1
(pm)-alpha-Tocopherol acetate,"Benzoic acid, pentadecyl ester",1
(pm)-alpha-Tocopherol acetate,Benzophenone,1
(pm)-alpha-Tocopherol acetate,"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)-",1
(pm)-alpha-Tocopherol acetate, 5-Hydroxyhexanoic acid,1
(pm)-alpha-Tocopherol acetate,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",1
(pm)-alpha-Tocopherol acetate,Citric acid,1
(pm)-alpha-Tocopherol acetate,Cyclohexanol,1
(pm)-alpha-Tocopherol acetate,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-",1
(pm)-alpha-Tocopherol acetate,D-Fructose,1
(pm)-alpha-Tocopherol acetate,Dinoseb ,1
(pm)-alpha-Tocopherol acetate,Diphenyl ether,1
(pm)-alpha-Tocopherol acetate,DL-Glyceraldehyde,1
(pm)-alpha-Tocopherol acetate,"Dodecanoic acid, 1-methylethyl ester",1
(pm)-alpha-Tocopherol acetate,"Erythrono-1,4-lactone, (Z)-",1
(pm)-alpha-Tocopherol acetate,"Ethanol, 2-(9-octadecenyloxy)-",1
(pm)-alpha-Tocopherol acetate,Glyoxime,1
(pm)-alpha-Tocopherol acetate,Hexanedioic acid,1
(pm)-alpha-Tocopherol acetate,Hydracrylic acid,1
(pm)-alpha-Tocopherol acetate,Isofucosterol,1
(pm)-alpha-Tocopherol acetate,Isopropyl palmitate,1
(pm)-alpha-Tocopherol acetate,Itaconic acid,1
(pm)-alpha-Tocopherol acetate,L-Proline,1
(pm)-alpha-Tocopherol acetate,Methyl aminoacetate,1
(pm)-alpha-Tocopherol acetate,"N-(Trifluoroacetyl)-N,O,O'-tris(trimethylsilyl)normetanephrine",1
(pm)-alpha-Tocopherol acetate,Nonanal,1
(pm)-alpha-Tocopherol acetate,p-Hydroxydiisopropylbenzene,1
(pm)-alpha-Tocopherol acetate,Pantolactone,1
(pm)-alpha-Tocopherol acetate,Pentadecanoic acid,1
(pm)-alpha-Tocopherol acetate,"Pentenoic acid, 4-[(trimethylsilyl)oxy]-",1
(pm)-alpha-Tocopherol acetate,phenoxyethanol,1
(pm)-alpha-Tocopherol acetate,Picolinic acid,1
(pm)-alpha-Tocopherol acetate,Pimelic acid,1
(pm)-alpha-Tocopherol acetate,"Propanetriol, 2-methyl-",1
(pm)-alpha-Tocopherol acetate,"Stigmast-5-ene, 3beta-",1
(pm)-alpha-Tocopherol acetate,Tartronic acid,1
(pm)-alpha-Tocopherol acetate,Triethanolamine,1
(pm)-alpha-Tocopherol acetate,L-Tyrosine,1
(pm)-N-Propylamphetamine,"5alpha-Pregnane-3,20-dione",-1
(pm)-Norketamine,L-Leucine,-1
(pm)-Norketamine,Naphthofluorescein,-1
(pm)-Phenylpropanolamine,3-(2-Hydroxyethyl)imidazole-2-thione,1
(pm)-Phenylpropanolamine,3-Indolepropionic acid,-1
(pm)-Phenylpropanolamine,Bis(trimethylsilyl)histidine,-1
(pm)-Phenylpropanolamine,Decanoic acid,1
(pm)-Phenylpropanolamine,n-Butylamine,1
(pm)-Phenylpropanolamine,Vanillylmandelic acid,1
"(R*,S*)-2,3-Dihydroxybutanoic acid","1-Butanamine, N,N-diethyl-",1
"(R*,S*)-2,3-Dihydroxybutanoic acid","1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",1
"(R*,S*)-2,3-Dihydroxybutanoic acid","3-(3-Cyclohexylaminopropionylamino)-5-ethylthiophene-2-carboxylic acid, ethyl ester",-1
"(R*,S*)-2,3-Dihydroxybutanoic acid","3,4-dimethyl-5-(3,4-methylenedioxy)phenyloxazolidine",-1
"(R*,S*)-2,3-Dihydroxybutanoic acid","3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",1
"(R*,S*)-2,3-Dihydroxybutanoic acid",5-Hydroxyquinoline,1
"(R*,S*)-2,3-Dihydroxybutanoic acid","9(E),11(E)-Conjugated linoleic acid",1
"(R*,S*)-2,3-Dihydroxybutanoic acid",Acetoacetic acid,1
"(R*,S*)-2,3-Dihydroxybutanoic acid",Benzeneacetamide,-1
"(R*,S*)-2,3-Dihydroxybutanoic acid","Benzoic acid, pentadecyl ester",1
"(R*,S*)-2,3-Dihydroxybutanoic acid",Benzophenone,1
"(R*,S*)-2,3-Dihydroxybutanoic acid","Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",1
"(R*,S*)-2,3-Dihydroxybutanoic acid",Cyclohexanol,1
"(R*,S*)-2,3-Dihydroxybutanoic acid",Diphenyl ether,1
"(R*,S*)-2,3-Dihydroxybutanoic acid",DL-Glyceraldehyde,1
"(R*,S*)-2,3-Dihydroxybutanoic acid",Isofucosterol,1
"(R*,S*)-2,3-Dihydroxybutanoic acid",Nonadecanoic acid,1
"(R*,S*)-2,3-Dihydroxybutanoic acid",Phenoxyacetic acid,1
"(S,S)-(-)-Hydrobenzoin","2,2'-Biphenyldiol",1
"(S,S)-(-)-Hydrobenzoin",3-Methoxysalicylic acid,-1
"(S,S)-(-)-Hydrobenzoin","Acetic acid, bis[(trimethylsilyl)oxyl]-",-1
"(S,S)-(-)-Hydrobenzoin",Fenitrothion,-1
"(S,S)-(-)-Hydrobenzoin","Spiro[cyclopenta[d]-1,3,2-dioxaborin-4(5H),1'-cyclopentane], 2-ethyl-6,7-dihydro-",-1
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",4-Methoxyphenol,1
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",D-Fucitol,-1
"1-(2,4-Dimethoxyphenyl)-propan-2-one","1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",1
"1-(2,4-Dimethoxyphenyl)-propan-2-one","1,3-Cyclohexanebis(methylamine)",-1
"1-(2,4-Dimethoxyphenyl)-propan-2-one",10-Heptadecenoic acid,1
"1-(2,4-Dimethoxyphenyl)-propan-2-one",2-Hydroxy-5-methoxybenzaldehyde,1
"1-(2,4-Dimethoxyphenyl)-propan-2-one","2-Propanone, bis(1-methylethyl)hydrazone",1
"1-(2,4-Dimethoxyphenyl)-propan-2-one",4-(Trimethylsilyoxy)-3-penten-2-one,1
"1-(2,4-Dimethoxyphenyl)-propan-2-one",Dimethyl fumarate,1
"1-(2,4-Dimethoxyphenyl)-propan-2-one",Fenitrothion,1
"1-(2,4-Dimethoxyphenyl)-propan-2-one",Heptadecanoic acid,1
"1-(2,4-Dimethoxyphenyl)-propan-2-one","Pentenoic acid, 4-[(trimethylsilyl)oxy]-",1
"1-(2,4-Dimethoxyphenyl)-propan-2-one",Petroselinic acid,1
"1-(2,4-Dimethoxyphenyl)-propan-2-one",Phlorizin,1
"1-(2,4-Dimethoxyphenyl)-propan-2-one",L-Tyrosine,1
1-(3-Methylphenyl)piperazine,1-(4-Hydroxybenzylidene)acetone,1
1-(3-Methylphenyl)piperazine,"1-Cyclohexanone, 3-butyl-3-methyl-",1
1-(3-Methylphenyl)piperazine,"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",1
1-(3-Methylphenyl)piperazine,Benzophenone,1
1-(3-Methylphenyl)piperazine,Phlorizin,1
1-(4-Hydroxybenzylidene)acetone,"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",1
1-(4-Hydroxybenzylidene)acetone,"1,3-bis[(Trimethylsilyl)ethynyl]benzene",1
1-(4-Hydroxybenzylidene)acetone,"1,5-Anhydroglucitol",1
1-(4-Hydroxybenzylidene)acetone,"15-Oxo-11Z,13E-eicosadienoic acid",1
1-(4-Hydroxybenzylidene)acetone,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,1
1-(4-Hydroxybenzylidene)acetone,"2-Allyl-1,4-dimethoxybenzene",1
1-(4-Hydroxybenzylidene)acetone,2-Ethyl-3-hydroxypropionic acid,1
1-(4-Hydroxybenzylidene)acetone,"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",1
1-(4-Hydroxybenzylidene)acetone,2-Naphthol,1
1-(4-Hydroxybenzylidene)acetone,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",1
1-(4-Hydroxybenzylidene)acetone,"2,4-Diamino-6,7-dimethylpteridine",1
1-(4-Hydroxybenzylidene)acetone,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",1
1-(4-Hydroxybenzylidene)acetone,3-Amino-5-morpholinomethyl-2-oxazolidinone,1
1-(4-Hydroxybenzylidene)acetone,3-Hexenedinitrile,1
1-(4-Hydroxybenzylidene)acetone,3-Hydroxyisovaleric acid,1
1-(4-Hydroxybenzylidene)acetone,3-Methyladenine,1
1-(4-Hydroxybenzylidene)acetone,"3,5-Dimethylpyrazole",1
1-(4-Hydroxybenzylidene)acetone,"3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",1
1-(4-Hydroxybenzylidene)acetone,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",1
1-(4-Hydroxybenzylidene)acetone,4-Hydroxy-5-(hydroxymethyl)oxolan-2-one,-1
1-(4-Hydroxybenzylidene)acetone,9-Octadecenoic acid,1
1-(4-Hydroxybenzylidene)acetone,"Acetic acid, bis[(trimethylsilyl)oxyl]-",1
1-(4-Hydroxybenzylidene)acetone,alpha-Tocopherol,1
1-(4-Hydroxybenzylidene)acetone,Azatadine,1
1-(4-Hydroxybenzylidene)acetone,"Benzimidazole, 5-trifluoromethyl-2-methyl-",1
1-(4-Hydroxybenzylidene)acetone,Benzophenone,1
1-(4-Hydroxybenzylidene)acetone,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",1
1-(4-Hydroxybenzylidene)acetone,Cyclohexanol,1
1-(4-Hydroxybenzylidene)acetone,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-",1
1-(4-Hydroxybenzylidene)acetone,D-Threitol,1
1-(4-Hydroxybenzylidene)acetone,Dinoseb ,1
1-(4-Hydroxybenzylidene)acetone,Diphenyl ether,1
1-(4-Hydroxybenzylidene)acetone,DL-Glyceraldehyde,1
1-(4-Hydroxybenzylidene)acetone,"Dodecanoic acid, 1-methylethyl ester",1
1-(4-Hydroxybenzylidene)acetone,Hydantoic acid,1
1-(4-Hydroxybenzylidene)acetone,Isofucosterol,1
1-(4-Hydroxybenzylidene)acetone,Isopropyl palmitate,1
1-(4-Hydroxybenzylidene)acetone,L-Threitol,1
1-(4-Hydroxybenzylidene)acetone,Methyl aminoacetate,1
1-(4-Hydroxybenzylidene)acetone,N-Isovaleroylglycine,1
1-(4-Hydroxybenzylidene)acetone,N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine,1
1-(4-Hydroxybenzylidene)acetone,"N,N-Diethyl-2-aminoethanol",1
1-(4-Hydroxybenzylidene)acetone,Niclosamide,1
1-(4-Hydroxybenzylidene)acetone,Nonanal,1
1-(4-Hydroxybenzylidene)acetone,p-Toluic acid,1
1-(4-Hydroxybenzylidene)acetone,Phenoxyacetic acid,1
1-(4-Hydroxybenzylidene)acetone,Phloroglucinol,1
1-(4-Hydroxybenzylidene)acetone,Propylamine,1
1-(4-Hydroxybenzylidene)acetone,S-Methyl-L-cysteine,1
1-(4-Hydroxybenzylidene)acetone,"Stigmast-5-ene, 3beta-",1
1-(4-Hydroxybenzylidene)acetone,Triethanolamine,1
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone","1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",1
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone","3,4,5-Trihydroxypentanoic acid, tetrakis(trimethylsilyl)-",1
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",3'-Hydroxyacetophenone,1
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",4-Hydroxybenzaldehyde,1
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone", 5-Hydroxyhexanoic acid,1
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",Isoxaben,1
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",Itaconic acid,1
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",L-Asparagine,1
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",L-Glutamic acid,1
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",Niacin,1
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",Niacinamide,1
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",Petroselinic acid,1
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",Picolinic acid,1
1-Aminocyclopropanecarboxylic acid,3-Amino-2-piperidone,1
1-Aminocyclopropanecarboxylic acid,"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-",1
1-Aminocyclopropanecarboxylic acid,"3-Methylpiperazine-2,5-dione, (R)-",1
1-Aminocyclopropanecarboxylic acid,"3,5-Di-tert-butyl-2-trimethylsilyloxybenzaldehyde",1
1-Aminocyclopropanecarboxylic acid,"4-[2-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)ethenyl]-2-methoxyphenol",-1
1-Aminocyclopropanecarboxylic acid,Glycine,1
"1-Butanamine, N,N-diethyl-",1-Octanol,1
"1-Butanamine, N,N-diethyl-","1-Octene, 2-methyl-",1
"1-Butanamine, N,N-diethyl-","1-Propanamine, N,N-diethyl- ",1
"1-Butanamine, N,N-diethyl-","1,2-Benzenedicarboxylic acid",1
"1-Butanamine, N,N-diethyl-","1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",1
"1-Butanamine, N,N-diethyl-",12-Oxooctadecanoate,1
"1-Butanamine, N,N-diethyl-",2-Ethyl-3-hydroxypropionic acid,1
"1-Butanamine, N,N-diethyl-","2-Propanone, bis(1-methylethyl)hydrazone",1
"1-Butanamine, N,N-diethyl-","2,5-Piperazinedione, 3-benzyl-6-isopropyl-",1
"1-Butanamine, N,N-diethyl-",3-Amino-5-morpholinomethyl-2-oxazolidinone,1
"1-Butanamine, N,N-diethyl-",3-Hydroxyisovaleric acid,1
"1-Butanamine, N,N-diethyl-",5-Henicosylresorcinol,1
"1-Butanamine, N,N-diethyl-","Acetic acid, bis[(trimethylsilyl)oxyl]-",1
"1-Butanamine, N,N-diethyl-","Benzenemethanamine, 2,3-dimethoxy-",1
"1-Butanamine, N,N-diethyl-",Benzyl alcohol,1
"1-Butanamine, N,N-diethyl-","Butanal, 2,3,4-tris[(trimethylsilyl)oxy]-, O-methyloxime, [R-(R*,R*)]-",1
"1-Butanamine, N,N-diethyl-",Butylmethylamine,1
"1-Butanamine, N,N-diethyl-","Cholest-22-ene-21-ol, 3,5-dehydro-6-methoxy-, pivalate",1
"1-Butanamine, N,N-diethyl-","Cyclohexanone, 3,3,5-trimethyl-",1
"1-Butanamine, N,N-diethyl-",D-Ornithine,1
"1-Butanamine, N,N-diethyl-",Dodecylcyclohexane,1
